Location,MachineName,HashRate(24h),EstRevenue(30d),EstProfit(30d),Price,NumMachines,Cost,URL
TX-WTD,M66S 268T 18.5 W/T,338.86 TH/s,0.00684,0.00168,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1553
TX-WTD,M66S 268T 18.5 W/T,335.38 TH/s,0.00683,0.00167,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1552
TX-WTD,M66S 268T 18.5 W/T,334.7 TH/s,0.00689,0.00173,0.13691,1,0.0051600000000000005,https://marketplace.blockwaresolutions.com/detail/1551
TX-WTD,M66S 268T 18.5 W/T,337.99 TH/s,0.00686,0.0017,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1550
TX-WTD,M66S 268T 18.5 W/T,335.68 TH/s,0.00685,0.00169,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1549
TX-WTD,M66S 268T 18.5 W/T,338.72 TH/s,0.00686,0.00169,0.13691,1,0.005169999999999999,https://marketplace.blockwaresolutions.com/detail/1548
TX-WTD,M66S 268T 18.5 W/T,341.68 TH/s,0.00689,0.00173,0.13691,1,0.0051600000000000005,https://marketplace.blockwaresolutions.com/detail/1547
TX-WTD,M66S 268T 18.5 W/T,333.84 TH/s,0.00686,0.0017,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1546
TX-WTD,M66S 268T 18.5 W/T,335.05 TH/s,0.00691,0.00174,0.13691,1,0.00517,https://marketplace.blockwaresolutions.com/detail/1545
TX-WTD,M66S 268T 18.5 W/T,335.23 TH/s,0.00692,0.00176,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1544
TX-WTD,M66S 268T 18.5 W/T,341.16 TH/s,0.00687,0.00171,0.13691,1,0.0051600000000000005,https://marketplace.blockwaresolutions.com/detail/1543
TX-WTD,M66S 268T 18.5 W/T,333.65 TH/s,0.00684,0.00168,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1542
TX-WTD,M66S 268T 18.5 W/T,336.83 TH/s,0.00689,0.00172,0.13691,1,0.00517,https://marketplace.blockwaresolutions.com/detail/1541
TX-WTD,M66S 268T 18.5 W/T,341.63 TH/s,0.00687,0.00171,0.13691,1,0.0051600000000000005,https://marketplace.blockwaresolutions.com/detail/1540
TX-WTD,M66S 268T 18.5 W/T,340.96 TH/s,0.0069,0.00174,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1539
TX-WTD,M66S 268T 18.5 W/T,334.31 TH/s,0.00687,0.00171,0.13691,1,0.0051600000000000005,https://marketplace.blockwaresolutions.com/detail/1538
TX-WTD,M66S 268T 18.5 W/T,339.27 TH/s,0.00688,0.00172,0.13691,1,0.00516,https://marketplace.blockwaresolutions.com/detail/1537
KY-LF,Bitmain S19 Pro 110T,81.87 TH/s,0.0023,-0.00091,0.0123,1,0.00321,https://marketplace.blockwaresolutions.com/detail/1526
